Lucro;Revenda;Compra;Volume;Minimo;Maximo
360,59;1764,59;1404;0,374356277;1;35
62,92;352,82;289,9;0,657721873;1;30
49,47;670,47;621;0,744763472;1;12
87,12;408,12;321;0,972044795;1;31
781,65;3411,65;2630;0,556465427;1;53
69,9;299,9;230;0,660927114;1;10
4;94;90;0,004687258;1;8
176,88;799,88;623;0,404971825;1;20
85,76;505,76;420;0,012091687;1;30
10,65;51,65;41;0,431825131;1;40
101,29;329,29;228;0,222025383;1;25
31,05;141,05;110;0,355321939;1;9
29,59;164,59;135;0,586517038;1;15
120,78;888,78;768;0,851217153;1;10
43,06;741,06;698;0,555243215;1;30
340,95;2420,95;2080;0,643252512;1;9
312,29;1529,29;1217;0,920590636;1;3
122,12;388,12;266;0,316074906;1;30
9,57;30,47;20,9;0,264797581;1;12
28,94;106,94;78;0,909333859;1;8
87,65;611,65;524;0,021883777;1;50
357,67;1777,67;1420;0,004771797;1;10
87,82;352,82;265;0,922425509;1;20
114,59;564,59;450;0,152852987;1;15
58,71;238,71;180;0,075211515;1;30
91,65;411,65;320;0,541165808;1;13
11,53;77,53;66;0,359725169;1;5
304,82;1152,82;848;0,166975573;1;15
150,76;705,76;555;0,380334807;1;10
100,9;350,9;250;0,934201453;1;25
58,71;258,71;200;0,679388216;1;25
40,06;341,06;301;0,372799853;1;30
7,47;30,47;23;0,287211262;1;5
62,71;458,71;396;0,489717975;1;30
3,32;28,32;25;0,981078662;1;15
248,76;705,76;457;0,701987316;1;15
398,9;1999,9;1601;0,358784668;1;9
13,11;124,11;111;0,332644913;1;5
68,12;268,12;200;0,271141321;1;10
37,47;330,47;293;0,656915835;1;8
63,82;352,82;289;0,485685056;1;9
371,88;1999,88;1628;0,430274206;1;13
264,71;3058,71;2794;0,242343292;1;15
76,12;788,12;712;0,333062788;1;12
65,12;588,12;523;0,547489195;1;20
99,65;411,65;312;0,410756325;1;8
10,47;72,82;62,35;0,975482929;1;5
55,53;197,53;142;0,172622742;1;20
65,82;552,82;487;0,964239345;1;25
8,57;30,47;21,9;0,104465183;1;15
4,59;124,59;120;0,294687296;1;10
1336,18;4235,18;2899;0,620313352;1;20
34,41;823,41;789;0,016974913;1;8
82,41;823,41;741;0,536132075;1;20
20,37;249,37;229;0,072829765;1;10
100,59;364,59;264;0,999802044;1;20
52,82;352,82;300;0,542369626;1;8
29,41;423,41;394;0,118956921;1;8
20,88;199,88;179;0,633387418;1;10
7,25;26,94;19,69;0,204544184;1;10
344,28;2235,18;1890,9;0,356819109;1;10
165,41;583,41;418;0,78958206;1;5
57,12;168,12;111;0,57726053;1;4
232,76;705,76;473;0,567175141;1;6
98,41;423,41;325;0,837482773;1;10
7,94;46,94;39;0,415511188;1;21
47,9;499,9;452;0,803071402;1;8
339,59;1764,59;1425;0,273374101;1;8
41,29;329,29;288;0,72728084;1;6
510,94;3446,94;2936;0,669238451;1;10
69,41;423,41;354;0,493047272;1;20
15,16;101,06;85,9;0,659240113;1;50
178,71;1058,71;880;0,509941616;1;9
53,9;319,9;266;0,418712933;1;20
43,24;282,24;239;0,707485389;1;15
135,47;670,47;535;0,439052211;1;25
5;54;49;0,122838175;1;30
3,59;24,59;21;0,993418438;1;40
32,37;149,37;117;0,171260663;1;25
9;54;45;0,125998307;1;15
62,06;341,06;279;0,606143669;1;20
159,71;658,71;499;0,844684766;1;35
55,76;425,76;370;0,959605073;1;10
65,88;359,88;294;0,550055053;1;12
49,71;418,71;369;0,596249315;1;15
502,74;2705,74;2203;0,539275733;1;20
11,41;223,41;212;0,996201467;1;13
143,24;1042,24;899;0,363188219;1;30
82;494;412;0,233950112;1;8
246,76;905,76;659;0,061177025;1;12
148,88;579,88;431;0,352448332;1;10
14,18;55,18;41;0,435671945;1;15
21,88;199,88;178;0,8241057;1;8
6,11;84,11;78;0,813266737;1;6
129;979;850;0,316686895;1;8
32,9;208,9;176;0,648883254;1;10
90;399,9;309,9;0,702891086;1;15
13,82;108,12;94,3;0,590922004;1;20
57,37;189,37;132;0,957596048;1;6
3,86;72,4;68,54;0,389948708;1;8
9,9;49,9;40;0,459770279;1;4
54,12;268,12;214;0,283266792;1;6
140;1029;889;0,783070466;1;7
9;96,9;87,9;0,12059672;1;3
1;2;1;0,730388548;1;8
26,95;191,95;165;0,122872323;1;4
79,13;699;619,87;0,255599949;1;5
20,3;118,84;98,54;0,683557455;1;6
76,94;286,94;210;0,008379741;1;5
97,46;699;601,54;0,330902276;1;5
20;119,9;99,9;0,107187557;1;7
83,78;194;110,22;0,579784661;1;8
9,18;69,29;60,11;0,902658615;1;6
25,89;131,3;105,41;0,530842823;1;7
125,4;220,95;95,55;0,983596951;1;5
313;1649;1336;0,555830642;1;7
36,32;168,32;132;0,834979269;1;9
10,39;109,29;98,9;0,408078142;1;5
5,12;16,02;10,9;0,266016487;1;5
9,98;99,88;89,9;0,839659236;1;8
21,75;211,65;189,9;0,759113007;1;6
12,14;102,04;89,9;0,579271524;1;7
62,34;282,24;219,9;0,145538707;1;4
56,68;257,79;201,11;0,815499944;1;8
100,9;210,9;110;0,997966152;1;5
200;1099;899;0,038004367;1;5
10,9;49,9;39;0,173818547;1;5
12,9;121,9;109;0,446451837;1;8
100,06;421,06;321;0,606956608;1;9
59,71;458,71;399;0,665644816;1;5
30,84;138,84;108;0,409083399;1;5
37,26;147,26;110;0,689999079;1;7
40,47;270,47;230;0,122821709;1;8
32,05;421,05;389;0,80723336;1;9
30;1029;999;0,217728752;1;4
7,76;105,76;98;0,353847754;1;4
59,84;378,84;319;0,155062154;1;5
42,06;241,06;199;0,503387579;1;6
117,29;429,29;312;0,68924735;1;4
155;699;544;0,99240707;1;5
67,55;276,55;209;0,51167687;1;4
10,57;70,47;59,9;0,774153322;1;4
8,53;57,53;49;0,767463652;1;4
22,65;211,65;189;0,147027738;1;3
222,9;999,9;777;0,483823062;1;8
19,24;142,24;123;0,536653051;1;7
135;494;359;0,400114607;1;3
13,9;49,9;36;0,108686319;1;2
19,53;117,53;98;0,149176431;1;8
14,24;82,24;68;0,188391401;1;9
35,41;223,41;188;0,742856469;1;2
8,9;30,9;22;0,764538972;1;8
194,88;939,88;745;0,339259853;1;4
23,71;678,71;655;0,737342185;1;4
5,47;50,47;45;0,56337672;1;8
95,47;450,47;355;0,571721425;1;9
275,47;1730,47;1455;0,270329735;1;9
169,12;1268,12;1099;0,704344551;1;2
51,47;650,47;599;0,449042764;1;2
100,78;388,78;288;0,023051012;1;4
120,35;376,35;256;0,298432377;1;1
253;1994;1741;0,545622678;1;8
3517,65;17046,94;13529,29;0,352760935;1;2
4154,86;13705,76;9550,9;0,215574646;1;2
99,22;568,12;468,9;0,705999923;1;5
157,65;2211,65;2054;0,708641522;1;5
100,18;399,88;299,7;0,607062358;1;5
93,58;348,12;254,54;0,045847595;1;8
46,35;136,35;90;0,942313815;1;8
50,59;304,59;254;0,68002756;1;4
201,88;1199,88;998;0,892893039;1;3
5,4;74;68,6;0,733927977;1;4
850,16;2941,06;2090,9;0,780682189;1;6
379,29;1729,29;1350;0,750852937;1;5
281,35;1136,35;855;0,366161986;1;1
390,18;2235,18;1845;0,842314201;1;5
1497,22;8352,82;6855,6;0,25599818;1;2
828,18;1918,78;1090,6;0,349539;1;2
89,77;199,88;110,11;0,159089454;1;9
19,82;152,82;133;0,570428575;1;9
78,9;499,9;421;0,468221147;1;6
1041,59;7764,59;6723;0,683357742;1;1
64,62;188,12;123,5;0,05659856;1;8
35,58;435,18;399,6;0,301218191;1;8
310,88;2199,88;1889;0,291509599;1;2
476,9;4288,9;3812;0,252892042;1;5
547,76;4305,76;3758;0,931791119;1;3
763,09;7017,53;6254,44;0,111458167;1;8
376,75;7631,65;7254,9;0,6267456;1;1
699,98;3599,88;2899,9;0,161460084;1;3
1342,45;7576,35;6233,9;0,797656222;1;2
13,11;84,11;71;0,551428233;1;9
6,91;31,47;24,56;0,844354053;1;5
3,51;20,95;17,44;0,070580158;1;2
15,65;316,55;300,9;0,873308033;1;4
6,14;73,58;67,44;0,469608502;1;7
7,71;105,16;97,45;0,742572202;1;6
55,33;168,32;112,99;0,554282053;1;2
32,5;420,95;388,45;0,096903132;1;4
4,26;84,11;79,85;0,726424936;1;7
8;39,9;31,9;0,594600701;1;6
